scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,600,1000,0,1,-1,1,0,0,0,13422795,13422795
leader_crash_restart,600,1000,0,1,-1,4,0,13433127,13436856,13452916,16060
leader_crash_restart,600,1000,0,1,-1,5,0,13471583,13474999,13953077,478078
leader_crash_restart,600,1000,0,1,-1,5,0,13986613,13993217,13995227,2010
leader_crash_restart,600,1000,0,1,-1,1,0,0,0,44575,44575
leader_crash_restart,600,1000,0,1,-1,5,0,103733,108869,110877,2008
leader_crash_restart,600,1000,0,1,-1,4,0,119449,122942,124944,2002
leader_crash_restart,600,1000,0,1,-1,2,138567,119449,143023,145037,6470
leader_crash_restart,600,1000,0,1,-1,1,0,0,0,44580,44580
leader_crash_restart,600,1000,0,1,-1,3,89916,0,116860,118871,28955
leader_crash_restart,600,1000,0,1,-1,4,0,0,20410,22420,2010
