scenario,seed,trial,leader_id,term,start_ts_ms,end_ts_ms,tenure_ms
leader_crash_restart,0,1,3,3,46664,78777,32113
leader_crash_restart,0,1,1,5,78777,112908,34131
leader_crash_restart,0,1,1,6,112908,175199,62291
leader_crash_restart,0,1,5,7,175199,191275,16076
leader_crash_restart,0,1,1,8,191275,217344,26069
leader_crash_restart,0,1,3,9,217344,281628,64284
leader_crash_restart,0,1,5,10,281628,305750,24122
leader_crash_restart,0,1,2,11,305750,361970,56220
leader_crash_restart,0,1,5,12,361970,416226,54256
leader_crash_restart,0,1,3,13,416226,494558,78332
leader_crash_restart,0,1,5,15,494558,528689,34131
leader_crash_restart,0,1,1,16,528689,576909,48220
leader_crash_restart,0,1,4,17,576909,621089,44180
leader_crash_restart,0,1,2,18,621089,663248,42159
leader_crash_restart,0,1,3,19,663248,707421,44173
leader_crash_restart,0,1,4,20,707421,823879,116458
leader_crash_restart,0,1,2,21,823879,839950,16071
leader_crash_restart,0,1,3,22,839950,882120,42170
leader_crash_restart,0,1,4,23,882120,896179,14059
leader_crash_restart,0,1,5,24,896179,938358,42179
leader_crash_restart,0,1,3,26,938358,986584,48226
leader_crash_restart,0,1,4,27,986584,1040822,54238
leader_crash_restart,0,1,5,28,1040822,1151323,110501
leader_crash_restart,0,1,2,29,1151323,1163356,12033
leader_crash_restart,0,1,3,30,1163356,1187476,24120
leader_crash_restart,0,1,1,31,1187476,1227640,40164
leader_crash_restart,0,1,2,32,1227640,1259790,32150
leader_crash_restart,0,1,4,33,1259790,1287895,28105
leader_crash_restart,0,1,2,34,1287895,1322052,34157
leader_crash_restart,0,1,3,35,1322052,1356204,34152
leader_crash_restart,0,1,1,36,1356204,1416443,60239
leader_crash_restart,0,1,4,37,1416443,1470689,54246
leader_crash_restart,0,1,1,38,1470689,1520861,50172
leader_crash_restart,0,1,2,40,1520861,1579100,58239
leader_crash_restart,0,1,3,41,1579100,1625299,46199
leader_crash_restart,0,1,1,42,1625299,1641374,16075
leader_crash_restart,0,1,4,43,1641374,1683535,42161
leader_crash_restart,0,1,5,44,1683535,1727736,44201
leader_crash_restart,0,1,4,45,1727736,1763895,36159
