scenario,seed,trial,leader_id,term,start_ts_ms,end_ts_ms,tenure_ms
leader_crash_restart,0,1,4,3,52624,88762,36138
leader_crash_restart,0,1,1,5,88762,130912,42150
leader_crash_restart,0,1,1,6,130912,154993,24081
leader_crash_restart,0,1,5,7,154993,199129,44136
leader_crash_restart,0,1,4,8,199129,239341,40212
leader_crash_restart,0,1,3,10,239341,307607,68266
leader_crash_restart,0,1,2,12,307607,349767,42160
leader_crash_restart,0,1,1,14,349767,402030,52263
leader_crash_restart,0,1,2,15,402030,456270,54240
leader_crash_restart,0,1,5,16,456270,490423,34153
leader_crash_restart,0,1,3,17,490423,544628,54205
leader_crash_restart,0,1,2,18,544628,574751,30123
leader_crash_restart,0,1,5,19,574751,612924,38173
leader_crash_restart,0,1,3,20,612924,673152,60228
leader_crash_restart,0,1,4,21,673152,697241,24089
leader_crash_restart,0,1,5,23,697241,755500,58259
leader_crash_restart,0,1,1,24,755500,791666,36166
leader_crash_restart,0,1,3,25,791666,831819,40153
leader_crash_restart,0,1,2,27,831819,894100,62281
leader_crash_restart,0,1,1,28,894100,928246,34146
leader_crash_restart,0,1,5,29,928246,978456,50210
leader_crash_restart,0,1,4,30,978456,1012664,34208
leader_crash_restart,0,1,1,32,1012664,1030710,18046
leader_crash_restart,0,1,2,33,1030710,1080909,50199
leader_crash_restart,0,1,3,34,1080909,1127133,46224
leader_crash_restart,0,1,4,35,1127133,1167287,40154
leader_crash_restart,0,1,1,37,1167287,1215481,48194
leader_crash_restart,0,1,1,38,1215481,1229525,14044
leader_crash_restart,0,1,3,39,1229525,1283756,54231
leader_crash_restart,0,1,3,40,1283756,1303823,20067
leader_crash_restart,0,1,2,42,1303823,1358035,54212
leader_crash_restart,0,1,1,43,1358035,1372080,14045
leader_crash_restart,0,1,2,44,1372080,1412243,40163
leader_crash_restart,0,1,5,45,1412243,1446394,34151
leader_crash_restart,0,1,3,47,1446394,1496654,50260
leader_crash_restart,0,1,2,49,1496654,1558942,62288
leader_crash_restart,0,1,1,50,1558942,1641372,82430
leader_crash_restart,0,1,4,51,1641372,1683541,42169
leader_crash_restart,0,1,5,52,1683541,1725712,42171
leader_crash_restart,0,1,3,53,1725712,1783938,58226
leader_crash_restart,0,1,2,54,1783938,1810025,26087
leader_crash_restart,0,1,3,56,1810025,1850237,40212
leader_crash_restart,0,1,1,57,1850237,1880379,30142
leader_crash_restart,0,1,2,58,1880379,1914530,34151
leader_crash_restart,0,1,5,59,1914530,1948639,34109
leader_crash_restart,0,1,2,60,1948639,1990811,42172
leader_crash_restart,0,1,4,61,1990811,2051117,60306
leader_crash_restart,0,1,5,62,2051117,2117395,66278
leader_crash_restart,0,1,3,64,2117395,2163622,46227
leader_crash_restart,0,1,1,65,2163622,2199755,36133
leader_crash_restart,0,1,4,66,2199755,2215818,16063
leader_crash_restart,0,1,5,67,2215818,2266025,50207
leader_crash_restart,0,1,3,68,2266025,2322271,56246
leader_crash_restart,0,1,4,70,2322271,2366483,44212
leader_crash_restart,0,1,2,71,2366483,2406607,40124
leader_crash_restart,0,1,3,72,2406607,2436731,30124
leader_crash_restart,0,1,5,73,2436731,2482939,46208
leader_crash_restart,0,1,3,74,2482939,2535151,52212
leader_crash_restart,0,1,4,75,2535151,2571286,36135
leader_crash_restart,0,1,2,76,2571286,2627529,56243
leader_crash_restart,0,1,1,78,2627529,2675670,48141
leader_crash_restart,0,1,1,79,2675670,2725886,50216
leader_crash_restart,0,1,5,80,2725886,2756022,30136
leader_crash_restart,0,1,4,81,2756022,2796225,40203
leader_crash_restart,0,1,5,84,2796225,2866516,70291
leader_crash_restart,0,1,1,85,2866516,2908707,42191
leader_crash_restart,0,1,2,86,2908707,2968979,60272
leader_crash_restart,0,1,4,87,2968979,2993067,24088
leader_crash_restart,0,1,3,88,2993067,3055331,62264
leader_crash_restart,0,1,2,90,3055331,3127666,72335
leader_crash_restart,0,1,1,91,3127666,3163832,36166
leader_crash_restart,0,1,4,92,3163832,3199944,36112
leader_crash_restart,0,1,2,94,3199944,3258174,58230
leader_crash_restart,0,1,1,95,3258174,3302372,44198
leader_crash_restart,0,1,5,96,3302372,3336523,34151
leader_crash_restart,0,1,4,97,3336523,3346551,10028
leader_crash_restart,0,1,3,98,3346551,3400797,54246
leader_crash_restart,0,1,4,99,3400797,3449015,48218
