scenario,drop_rate,seed,trial,entry_id,leader_term,start_ts_ms,commit_ts_ms,latency_ms
leader_crash_restart,0.06,0,1,1,1,36282,42569,6287
leader_crash_restart,0.06,0,1,2,1,38689,46593,7904
leader_crash_restart,0.03,0,1,3,2,59368,64669,5301
leader_crash_restart,0.03,0,1,4,2,60594,68677,8083
leader_crash_restart,0.15,0,1,5,4,96462,102796,6334
leader_crash_restart,0.15,0,1,6,4,99378,106807,7429
leader_crash_restart,0.06,0,1,7,6,142541,146976,4435
leader_crash_restart,0.06,0,1,8,7,175909,183082,7173
leader_crash_restart,0.06,0,1,9,7,177310,189096,11786
leader_crash_restart,0.06,0,1,10,8,216950,223260,6310
leader_crash_restart,0.06,0,1,11,8,219332,227277,7945
leader_crash_restart,0.00,0,1,12,9,252177,259396,7219
leader_crash_restart,0.00,0,1,13,9,254337,263402,9065
leader_crash_restart,0.00,0,1,14,9,256330,267417,11087
leader_crash_restart,0.15,0,1,15,11,318620,323690,5070
leader_crash_restart,0.15,0,1,16,11,320522,331708,11186
leader_crash_restart,0.12,0,1,17,13,362916,369882,6966
leader_crash_restart,0.12,0,1,18,13,365010,373908,8898
leader_crash_restart,0.03,0,1,19,15,414426,422137,7711
leader_crash_restart,0.03,0,1,20,15,415837,428149,12312
leader_crash_restart,0.03,0,1,21,15,417681,432167,14486
leader_crash_restart,0.03,0,1,22,16,461913,468321,6408
leader_crash_restart,0.09,0,1,23,17,495119,502473,7354
leader_crash_restart,0.09,0,1,24,17,496774,508501,11727
leader_crash_restart,0.09,0,1,25,17,498239,514529,16290
leader_crash_restart,0.09,0,1,26,17,499346,518533,19187
leader_crash_restart,0.03,0,1,27,18,554237,556685,2448
leader_crash_restart,0.09,0,1,28,19,588535,594837,6302
leader_crash_restart,0.09,0,1,29,19,591033,602887,11854
leader_crash_restart,0.06,0,1,30,20,638268,643035,4767
leader_crash_restart,0.06,0,1,31,20,640627,647051,6424
leader_crash_restart,0.00,0,1,32,22,709859,717308,7449
leader_crash_restart,0.00,0,1,33,22,713024,721329,8305
leader_crash_restart,0.15,0,1,34,24,770936,775600,4664
leader_crash_restart,0.15,0,1,35,24,771768,779623,7855
leader_crash_restart,0.06,0,1,36,25,798936,803708,4772
leader_crash_restart,0.06,0,1,37,25,799574,807726,8152
leader_crash_restart,0.15,0,1,38,26,840316,845894,5578
leader_crash_restart,0.15,0,1,39,26,840695,851914,11219
leader_crash_restart,0.15,0,1,40,26,841015,855934,14919
leader_crash_restart,0.15,0,1,41,26,841350,861975,20625
leader_crash_restart,0.12,0,1,42,28,902424,906160,3736
leader_crash_restart,0.12,0,1,43,28,902947,910170,7223
leader_crash_restart,0.12,0,1,44,29,948580,956346,7766
leader_crash_restart,0.12,0,1,45,29,949183,960363,11180
leader_crash_restart,0.12,0,1,46,29,950155,964380,14225
leader_crash_restart,0.09,0,1,47,30,987676,992553,4877
leader_crash_restart,0.12,0,1,48,33,1043734,1048780,5046
leader_crash_restart,0.12,0,1,49,33,1044696,1054812,10116
leader_crash_restart,0.06,0,1,50,34,1090268,1096985,6717
leader_crash_restart,0.06,0,1,51,34,1090700,1099000,8300
leader_crash_restart,0.06,0,1,52,34,1091244,1105029,13785
leader_crash_restart,0.09,0,1,53,35,1136211,1143192,6981
leader_crash_restart,0.09,0,1,54,35,1136601,1147219,10618
leader_crash_restart,0.09,0,1,55,35,1137216,1151241,14025
leader_crash_restart,0.15,0,1,56,36,1178275,1183343,5068
leader_crash_restart,0.15,0,1,57,36,1178947,1191378,12431
leader_crash_restart,0.15,0,1,58,36,1179695,1195404,15709
leader_crash_restart,0.15,0,1,59,36,1180113,1201437,21324
leader_crash_restart,0.06,0,1,60,39,1253429,1259640,6211
leader_crash_restart,0.12,0,1,61,39,1253793,1287767,33974
leader_crash_restart,0.12,0,1,62,39,1254205,1291775,37570
leader_crash_restart,0.15,0,1,63,41,1332109,1337963,5854
leader_crash_restart,0.15,0,1,64,41,1332916,1343977,11061
leader_crash_restart,0.00,0,1,65,44,1384311,1390139,5828
leader_crash_restart,0.00,0,1,66,44,1386743,1394157,7414
leader_crash_restart,0.00,0,1,67,45,1429425,1434342,4917
leader_crash_restart,0.00,0,1,68,45,1431059,1438365,7306
leader_crash_restart,0.15,0,1,69,46,1470995,1476558,5563
leader_crash_restart,0.15,0,1,70,46,1471767,1484589,12822
leader_crash_restart,0.12,0,1,71,48,1523131,1536856,13725
leader_crash_restart,0.12,0,1,72,48,1524974,1540884,15910
leader_crash_restart,0.12,0,1,73,50,1572227,1575043,2816
leader_crash_restart,0.12,0,1,74,50,1582768,1591126,8358
leader_crash_restart,0.12,0,1,75,50,1583989,1597150,13161
leader_crash_restart,0.12,0,1,76,50,1585754,1601169,15415
leader_crash_restart,0.12,0,1,77,50,1587698,1609198,21500
leader_crash_restart,0.06,0,1,78,51,1654490,1661457,6967
leader_crash_restart,0.06,0,1,79,51,1655078,1665468,10390
leader_crash_restart,0.09,0,1,80,53,1737590,1745796,8206
leader_crash_restart,0.09,0,1,81,53,1738145,1749805,11660
leader_crash_restart,0.09,0,1,82,53,1738548,1753821,15273
leader_crash_restart,0.09,0,1,83,53,1738941,1757836,18895
leader_crash_restart,0.09,0,1,84,53,1739316,1761849,22533
leader_crash_restart,0.09,0,1,85,53,1739694,1765871,26177
leader_crash_restart,0.12,0,1,86,54,1786931,1791974,5043
leader_crash_restart,0.12,0,1,87,54,1787515,1795982,8467
leader_crash_restart,0.12,0,1,88,54,1789195,1799994,10799
leader_crash_restart,0.12,0,1,89,55,1828512,1832144,3632
leader_crash_restart,0.00,0,1,90,57,1856264,1860283,4019
leader_crash_restart,0.06,0,1,91,58,1888102,1892439,4337
leader_crash_restart,0.06,0,1,92,58,1889006,1896452,7446
leader_crash_restart,0.06,0,1,93,58,1889585,1900466,10881
leader_crash_restart,0.00,0,1,94,59,1923239,1930572,7333
leader_crash_restart,0.00,0,1,95,59,1923899,1934579,10680
leader_crash_restart,0.00,0,1,96,59,1924684,1940604,15920
leader_crash_restart,0.00,0,1,97,60,1958597,1964704,6107
leader_crash_restart,0.00,0,1,98,60,1959216,1968723,9507
leader_crash_restart,0.00,0,1,99,60,1960879,1972744,11865
leader_crash_restart,0.15,0,1,100,61,2020978,2031014,10036
leader_crash_restart,0.15,0,1,101,61,2021886,2035020,13134
leader_crash_restart,0.15,0,1,102,61,2023394,2039042,15648
leader_crash_restart,0.15,0,1,103,62,2083313,2087263,3950
leader_crash_restart,0.15,0,1,104,62,2084212,2099314,15102
leader_crash_restart,0.12,0,1,105,63,2124785,2133492,8707
leader_crash_restart,0.12,0,1,106,63,2126164,2137506,11342
leader_crash_restart,0.12,0,1,107,63,2127917,2141533,13616
leader_crash_restart,0.12,0,1,108,63,2129560,2147554,17994
leader_crash_restart,0.06,0,1,109,65,2171579,2175659,4080
leader_crash_restart,0.06,0,1,110,65,2172798,2179680,6882
leader_crash_restart,0.00,0,1,111,67,2235698,2239909,4211
leader_crash_restart,0.00,0,1,112,67,2236178,2243929,7751
leader_crash_restart,0.00,0,1,113,67,2236598,2249951,13353
leader_crash_restart,0.15,0,1,114,68,2292440,2300189,7749
leader_crash_restart,0.15,0,1,115,68,2294559,2304203,9644
leader_crash_restart,0.12,0,1,116,69,2327421,2334338,6917
leader_crash_restart,0.12,0,1,117,69,2328086,2338361,10275
leader_crash_restart,0.12,0,1,118,69,2329430,2342377,12947
leader_crash_restart,0.12,0,1,119,71,2370587,2376509,5922
leader_crash_restart,0.12,0,1,120,71,2372036,2384539,12503
leader_crash_restart,0.12,0,1,121,71,2373165,2388551,15386
leader_crash_restart,0.15,0,1,122,72,2423447,2428695,5248
leader_crash_restart,0.12,0,1,123,74,2492610,2496988,4378
leader_crash_restart,0.12,0,1,124,74,2493140,2500992,7852
leader_crash_restart,0.12,0,1,125,74,2494304,2507020,12716
leader_crash_restart,0.06,0,1,126,75,2542340,2547202,4862
leader_crash_restart,0.06,0,1,127,75,2543005,2551220,8215
leader_crash_restart,0.06,0,1,128,75,2543853,2555236,11383
leader_crash_restart,0.03,0,1,129,76,2576682,2581334,4652
leader_crash_restart,0.03,0,1,130,76,2577252,2585349,8097
leader_crash_restart,0.03,0,1,131,76,2577700,2593373,15673
leader_crash_restart,0.06,0,1,132,77,2634715,2639566,4851
leader_crash_restart,0.06,0,1,133,77,2635394,2643578,8184
leader_crash_restart,0.06,0,1,134,77,2635894,2647588,11694
leader_crash_restart,0.06,0,1,135,77,2636834,2651607,14773
leader_crash_restart,0.12,0,1,136,79,2682368,2689739,7371
leader_crash_restart,0.12,0,1,137,79,2683877,2693750,9873
leader_crash_restart,0.12,0,1,138,79,2685172,2697765,12593
leader_crash_restart,0.06,0,1,139,80,2735710,2741968,6258
leader_crash_restart,0.06,0,1,140,81,2761706,2768088,6382
leader_crash_restart,0.06,0,1,141,81,2763011,2772102,9091
leader_crash_restart,0.03,0,1,142,82,2803865,2810281,6416
leader_crash_restart,0.03,0,1,143,82,2805110,2814299,9189
leader_crash_restart,0.03,0,1,144,82,2805945,2818318,12373
leader_crash_restart,0.12,0,1,145,85,2874509,2882586,8077
leader_crash_restart,0.12,0,1,146,85,2876040,2886599,10559
leader_crash_restart,0.12,0,1,147,85,2878284,2890615,12331
leader_crash_restart,0.03,0,1,148,86,2920812,2926797,5985
leader_crash_restart,0.03,0,1,149,86,2921407,2930816,9409
leader_crash_restart,0.03,0,1,150,86,2921988,2934830,12842
leader_crash_restart,0.03,0,1,151,86,2922657,2938849,16192
leader_crash_restart,0.06,0,1,152,87,2978850,2985042,6192
leader_crash_restart,0.00,0,1,153,88,3015404,3025204,9800
leader_crash_restart,0.00,0,1,154,88,3017109,3029216,12107
leader_crash_restart,0.00,0,1,155,88,3018975,3033241,14266
leader_crash_restart,0.00,0,1,156,88,3020168,3037268,17100
leader_crash_restart,0.00,0,1,157,89,3057412,3061360,3948
leader_crash_restart,0.00,0,1,158,89,3075554,3083466,7912
leader_crash_restart,0.00,0,1,159,89,3076359,3087484,11125
leader_crash_restart,0.00,0,1,160,89,3078419,3091504,13085
leader_crash_restart,0.12,0,1,161,91,3140871,3147764,6893
leader_crash_restart,0.12,0,1,162,91,3142962,3151782,8820
