scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,703,703,703,804,101
leader_crash_restart,600,1000,0,1,-1,0,301,3515,3515,3616,3315
leader_crash_restart,600,1000,0,1,-1,0,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,3313,3313,3313,3414,101
leader_crash_restart,600,1000,0,1,-1,2,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,0,3211,3211,3211,3311,100
leader_crash_restart,600,1000,0,1,-1,0,303,303,303,403,100
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,0,1304,1304,1304,1405,101
leader_crash_restart,600,1000,0,1,-1,1,2406,2406,2406,2507,101
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,0,1609,1609,1609,1709,100
leader_crash_restart,600,1000,0,1,-1,3,10249,10249,10249,10349,100
leader_crash_restart,600,1000,0,1,-1,3,10249,19485,19485,19585,9336
leader_crash_restart,600,1000,0,1,-1,0,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,2,1308,1308,1308,1409,101
leader_crash_restart,600,1000,0,1,-1,0,1104,1104,1104,1205,101
leader_crash_restart,600,1000,0,1,-1,1,301,301,301,402,101
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,0,3014,3013,3014,3114,100
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,2,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,0,803,803,803,903,100
leader_crash_restart,600,1000,0,1,-1,3,1204,1204,1204,1304,100
leader_crash_restart,600,1000,0,1,-1,2,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,1,4216,4216,4216,4316,100
leader_crash_restart,600,1000,0,1,-1,0,400,400,400,501,101
leader_crash_restart,600,1000,0,1,-1,2,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,1,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,1,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,4,8229,8228,8229,8329,100
leader_crash_restart,600,1000,0,1,-1,4,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,503,101
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,4,2709,2709,2709,2809,100
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,1,3018,3018,3018,3118,100
leader_crash_restart,600,1000,0,1,-1,1,1505,1505,1505,1605,100
leader_crash_restart,600,1000,0,1,-1,0,402,401,402,502,100
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,4,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,4,503,502,503,603,100
leader_crash_restart,600,1000,0,1,-1,2,4816,4816,4816,4917,101
leader_crash_restart,600,1000,0,1,-1,4,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,2,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,3,309,301,309,401,92
