scenario,seed,trial,leader_id,term,start_ts_ms,end_ts_ms,tenure_ms
leader_crash_restart,0,1,0,6,301,3515,3214
leader_crash_restart,0,1,0,22,1609,19168,17559
leader_crash_restart,0,1,3,25,10249,19485,9236
leader_crash_restart,0,1,0,23,402,904,502
leader_crash_restart,0,1,0,34,904,3014,2110
leader_crash_restart,0,1,0,15,807,4432,3625
leader_crash_restart,0,1,2,16,1826,4940,3114
leader_crash_restart,0,1,4,18,2829,5541,2712
leader_crash_restart,0,1,0,29,4432,8960,4528
leader_crash_restart,0,1,4,47,5541,12564,7023
leader_crash_restart,0,1,4,51,12564,13660,1096
leader_crash_restart,0,1,0,66,8960,16894,7934
leader_crash_restart,0,1,4,131,13660,28842,15182
leader_crash_restart,0,1,4,137,28842,30738,1896
leader_crash_restart,0,1,3,7,306,5239,4933
leader_crash_restart,0,1,0,16,405,7636,7231
leader_crash_restart,0,1,3,17,5239,7648,2409
leader_crash_restart,0,1,0,25,7636,9238,1602
leader_crash_restart,0,1,3,85,7648,19593,11945
leader_crash_restart,0,1,1,104,6060,24322,18262
leader_crash_restart,0,1,0,131,9238,29012,19774
leader_crash_restart,0,1,0,154,29012,32230,3218
leader_crash_restart,0,1,1,177,24322,36355,12033
leader_crash_restart,0,1,0,28,401,13457,13056
leader_crash_restart,0,1,4,15,1012,5954,4942
leader_crash_restart,0,1,4,21,5954,7555,1601
leader_crash_restart,0,1,1,41,3237,11054,7817
leader_crash_restart,0,1,4,91,7555,19900,12345
leader_crash_restart,0,1,1,94,11054,20809,9755
leader_crash_restart,0,1,2,119,4736,25527,20791
leader_crash_restart,0,1,1,131,20809,28440,7631
leader_crash_restart,0,1,1,149,28440,31748,3308
leader_crash_restart,0,1,0,9,1811,5951,4140
leader_crash_restart,0,1,4,18,418,9247,8829
leader_crash_restart,0,1,3,24,3136,12268,9132
leader_crash_restart,0,1,3,27,12268,12663,395
leader_crash_restart,0,1,3,14,2737,3936,1199
leader_crash_restart,0,1,1,16,1825,4536,2711
leader_crash_restart,0,1,3,79,3936,15782,11846
leader_crash_restart,0,1,1,102,4536,20385,15849
leader_crash_restart,0,1,0,134,418,26024,25606
leader_crash_restart,0,1,2,142,16180,28133,11953
leader_crash_restart,0,1,4,151,1427,30498,29071
leader_crash_restart,0,1,0,174,26024,35057,9033
leader_crash_restart,0,1,0,10,401,7327,6926
leader_crash_restart,0,1,2,3,318,922,604
leader_crash_restart,0,1,3,18,3532,7736,4204
leader_crash_restart,0,1,4,34,8149,15360,7211
